,Global Entity\,Logistics Area,Source,SF Status Raw, Vendor name,Vendor Grade,City,Address,Latitude,Longitude,Phone,Main Cuisine,Lead ID,Accuracy,Status ,Handler email,GRID,global_entity_id,lead_id,lead_source,restaurant_name,restaurant_area,restaurant_address,restaurant_post_code,restaurant_lat,restaurant_long,restaurant_city,haversine_distance
13,HS_SA,logistics,keeta,No Match,Falafel Dar Arfa,,Riyadh,"Al Aziziyah Rd,Ad Dar AL Baida,Riyadh 11564",24.5579,46.7948,,"Arabic, Saudi, Egyptian, Breakfast, Arabic",482862,Invalid lead (Add reason),Already exist,Bandar Alshathri,4FBZ8Y,HS_SA,4FBZ8Y,salesforce,Dar Arafa,Dhahrat Laban,Taiba Street,13782,24.6392557,46.5588774,Riyadh,25.51046011274463
14,HS_SA,sales,keeta,No Match,fish auction center and restaurant,,Riyadh,"Al Khalifah Al Mountasir Billah, Ar Rawabi, Riyadh 14215, Saudi Arabia",24.6922,46.7773,,"Seafood/Grill, Seafood, Local Flavors, Gathering",486358,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HWEF7E,HS_SA,HWEF7E,salesforce,fish auction restaurant,Al Muruj,4,,24.7558929,46.662633,Riyadh,13.575443955387481
15,HS_SA,logistics,keeta,No Match,Gloria Jean’s,,Riyadh,"Fatimah Al Zahraa, 3610, Jarir, Riyadh, 12833",24.6806,46.7421,,"Beverages, Coffee",469808,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CMYE7,HS_SA,4CMYE7,salesforce,Gloria Jean's : Tuwaiq,Tuwaiq,"24.554660552879856, 46.53927753502466",,24.554664694074933,46.539286595106496,Riyadh,24.82796016405261
16,HS_SA,sales,keeta,No Match,Hak Fol,,Al-Kharj,"5884+2MH in front of Al-Worood Avenue Complex, Al-Worood District, Al-Kharj 16278",24.1651,47.3067,,"Arabic, Falafel, Breakfast, Local Flavors",561324,Invalid lead (Add reason),Already exist,Mohammed Bin Huwayshil,HREL4Z,HS_SA,HREL4Z,salesforce,Haak fol : Al Burj,Al Burj,alkharj,3456789,24.165112637658538,47.3067074423298,Al Kharj,0.001595236940101913
17,HS_SA,logistics_proximity,keeta,No Match,ili PIZZA,,Riyadh,"Ash Shaikh Abdullah Al Anqari, Al Wurud, Riyadh 12252",24.7257,46.6836,,"Italian, Pizza, Gathering, Fine Dining",566946,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HWIUFY,HS_SA,HWIUFY,salesforce,ili PIZZA,Aqiq,0,,24.7842447,46.63386430000001,Riyadh,8.221952096711933
18,HS_SA,sales,keeta,No Match,Inah Grill,,Riyadh,"6766 Abu Bakr Alrazi Street, As Sulimaniyah, RHSC3313, 3313, Riyadh 12231",24.6903,46.7119,,"Seafood/Grill, Seafood, Japanese, Asian",570837,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CCFDW,HS_SA,4CCFDW,salesforce,Inah Grill: East An Nasim,East An Nasim,النسيم الشرقي، الرياض 14242,14242,24.74898630000001,46.8427977,Riyadh,14.744116677561493
19,HS_SA,logistics,keeta,No Match,Jabourih,,Riyadh,"Umar Ibn Abdul Aziz Br Rd, Ar Rabwah, Riyadh 12834, Saudi Arabia",24.6892,46.7584,,"Dessert, Pastries, Fine Dining, Gathering",472265,Invalid lead (Add reason),Already exist,Ahmed khalil,HA7C6L,HS_SA,HA7C6L,salesforce,Jabourih,Sahafah,"King Abdul Aziz Branch Rd, As Sahafah, Riyadh 13321",13321,24.810489,46.647596,Riyadh,17.523915132461678
20,HS_SA,logistics_proximity,keeta,No Match,Kanz Alshawayah,,Riyadh,"7169 Prince Sultan Bin Salman Bin Abdulaziz St, Ar Rahmaniyyah, Riyadh 12251, Saudi Arabia",24.7241,46.6761,,"Arabic, Saudi, Mandi, Bokhari, Local Flavors",583541,Invalid lead (Add reason),Already exist,Bandar Alshathri,4FBU6H,HS_SA,4FBU6H,salesforce,Kanz Al Shawaya Restaurant,Al Khaleej,N/A,,24.76719300000001,46.7903033,Riyadh,12.488598263985125
21,HS_SA,logistics,keeta,No Match,Kanz Alshawayah,,Riyadh,"Mohammad Rashid Rida, Al Aziziyah, Riyadh 14515, Saudi Arabia",24.5807,46.7542,,"Fast Food, Sandwich, Breakfast",449534,Invalid lead (Add reason),Duplicate,Bandar Alshathri,4FBU6H,HS_SA,4FBU6H,salesforce,Kanz Al Shawaya Restaurant,Al Khaleej,N/A,,24.76719300000001,46.7903033,Riyadh,21.05549758448734
22,HS_SA,logistics_proximity,keeta,No Match,Kareem meat restaurant,,Al-Kharj,"حي الزاهر، OAGD7077، 7077 الامير ناصر بن عبد العزيز، 2905, Al-Kharj 16438",24.1344,47.3472,,"Arabic, Saudi, Shawarma, Meat, Fast Food",600830,Invalid lead (Add reason),Already exist,Mohammed Bin Huwayshil,HAXGW9,HS_SA,HAXGW9,salesforce,Kareem Meat: Ad Dilam,Ad Dilam,"5590، الدلم 16323 7670, Ad Dilam 16323, Saudi Arabia",16323,23.9959357,47.1372954,Ad Dilam,26.291415618355416
